job_id,title,skills
job_id,job_title,['required skills']
AI00001,AI Research Scientist,"['kubernetes', 'linux', 'nlp', 'pytorch', 'tableau']"
AI00002,AI Software Engineer,"['aws', 'deep learning', 'docker', 'mathematics', 'python']"
AI00003,AI Specialist,"['deep learning', 'hadoop', 'java', 'kubernetes', 'nlp']"
AI00004,NLP Engineer,"['linux', 'python', 'scala', 'sql']"
AI00005,AI Consultant,"['java', 'mlops', 'python', 'tableau']"
AI00006,AI Architect,"['data visualization', 'linux', 'sql']"
AI00007,Principal Data Scientist,"['docker', 'mlops']"
AI00008,NLP Engineer,"['azure', 'computer vision', 'java', 'python', 'sql']"
AI00009,Data Analyst,"['git', 'hadoop', 'mathematics', 'python']"
AI00010,AI Software Engineer,"['azure', 'gcp', 'linux', 'mlops', 'scala']"
AI00011,Autonomous Systems Engineer,"['mlops', 'python', 'sql']"
AI00012,AI Architect,"['azure', 'data visualization', 'python']"
AI00013,AI Consultant,"['python', 'tableau', 'tensorflow']"
AI00014,Autonomous Systems Engineer,"['scala', 'sql', 'statistics']"
AI00015,AI Research Scientist,"['data visualization', 'gcp', 'python', 'pytorch']"
AI00016,AI Product Manager,"['deep learning', 'linux', 'statistics']"
AI00017,Principal Data Scientist,"['nlp', 'spark', 'tableau']"
AI00018,Machine Learning Engineer,"['azure', 'mlops', 'pytorch']"
AI00019,Data Engineer,"['git', 'hadoop', 'python', 'spark']"
AI00020,Research Scientist,"['computer vision', 'docker', 'java', 'nlp', 'scala']"
AI00021,Data Engineer,"['aws', 'azure', 'deep learning']"
AI00022,Autonomous Systems Engineer,"['nlp', 'pytorch', 'spark', 'tableau', 'tensorflow']"
AI00023,ML Ops Engineer,"['git', 'hadoop', 'tableau']"
AI00024,AI Product Manager,"['docker', 'git', 'hadoop']"
AI00025,ML Ops Engineer,"['aws', 'azure', 'computer vision', 'git', 'sql']"
AI00026,Robotics Engineer,"['data visualization', 'git', 'kubernetes', 'linux', 'tableau']"
AI00027,ML Ops Engineer,"['git', 'hadoop', 'linux', 'scala']"
AI00028,Data Analyst,"['kubernetes', 'mathematics', 'pytorch', 'tableau', 'tensorflow']"
AI00029,Head of AI,"['git', 'mathematics', 'nlp', 'python', 'scala']"
AI00030,ML Ops Engineer,"['azure', 'computer vision', 'kubernetes', 'python', 'tensorflow']"
AI00031,Head of AI,"['aws', 'deep learning', 'gcp', 'linux', 'tableau']"
AI00032,Research Scientist,"['azure', 'python', 'spark']"
AI00033,Robotics Engineer,"['nlp', 'python', 'scala']"
AI00034,ML Ops Engineer,"['azure', 'gcp', 'linux', 'python', 'tableau']"
AI00035,Deep Learning Engineer,"['gcp', 'linux', 'mlops']"
AI00036,Head of AI,"['data visualization', 'git', 'hadoop']"
AI00037,AI Architect,"['aws', 'data visualization', 'mathematics', 'python', 'tableau']"
AI00038,Robotics Engineer,"['linux', 'pytorch', 'sql', 'statistics']"
AI00039,AI Specialist,"['docker', 'gcp', 'tableau']"
AI00040,Data Engineer,"['azure', 'computer vision', 'tableau']"
AI00041,Data Scientist,"['azure', 'data visualization', 'mlops', 'spark']"
AI00042,AI Architect,"['java', 'mathematics', 'sql']"
AI00043,AI Specialist,"['gcp', 'mathematics', 'spark']"
