resume_id,job_id,label,semantic_sim,jaccard_sim,overlap_ratio
r_89,AI07949,0,0.4343388080596924,0.25,0.25
r_134,AI12445,0,0.4755328595638275,0.25,0.25
r_132,AI05566,0,0.4826287627220154,0.058823529411764705,0.2
r_1551,AI05301,1,0.2946752607822418,0.07142857142857142,0.5
r_200,AI09785,0,0.31735140085220337,0.058823529411764705,0.2
r_588,AI01735,0,0.4905620813369751,0.0625,0.25
r_783,AI14187,1,0.43798649311065674,0.07142857142857142,0.5
r_588,AI03155,0,0.5937399864196777,0.058823529411764705,0.2
r_132,AI09710,0,0.47470808029174805,0.058823529411764705,0.2
r_562,AI10212,0,0.4288090169429779,0.0625,0.25
r_2489,AI09573,1,0.3436116874217987,0.07142857142857142,0.5
r_632,AI10534,0,0.37186333537101746,0.0625,0.25
r_656,AI02183,0,0.469787061214447,0.0625,0.25
r_599,AI10346,0,0.5278744697570801,0.0625,0.25
r_561,AI06993,0,0.5100573301315308,0.058823529411764705,0.2
r_406,AI05190,0,0.45832306146621704,0.058823529411764705,0.2
r_187,AI14437,0,0.6024746894836426,0.058823529411764705,0.2
r_1205,AI09637,1,0.4264999032020569,0.07142857142857142,0.5
r_2895,AI01360,1,0.21372762322425842,0.07142857142857142,0.5
r_673,AI12276,0,0.34245961904525757,0.16666666666666666,0.2
r_111,AI10322,0,0.3468154966831207,0.0625,0.25
r_562,AI00867,0,0.5055673718452454,0.058823529411764705,0.2
r_132,AI06903,0,0.46350014209747314,0.058823529411764705,0.2
r_566,AI13334,0,0.362604558467865,0.058823529411764705,0.2
r_406,AI11522,0,0.5318552851676941,0.0625,0.25
r_224,AI07910,1,0.4485183358192444,0.5,0.5
r_594,AI13748,0,0.42926421761512756,0.2,0.2
r_209,AI08331,0,0.40895918011665344,0.2,0.2
r_632,AI05620,0,0.43107765913009644,0.058823529411764705,0.2
r_134,AI08293,0,0.41030216217041016,0.25,0.25
r_134,AI01825,0,0.46402591466903687,0.2,0.2
r_451,AI00156,1,0.400049090385437,0.07142857142857142,0.5
r_174,AI12661,0,0.3565461337566376,0.25,0.25
r_673,AI01183,0,0.42507925629615784,0.2,0.25
r_58,AI12229,0,0.4925827383995056,0.058823529411764705,0.2
r_346,AI03887,0,0.5421949625015259,0.058823529411764705,0.2
r_200,AI14335,0,0.4235563576221466,0.058823529411764705,0.2
r_503,AI11479,0,0.589806079864502,0.0625,0.25
r_2136,AI13447,1,0.4533756375312805,0.5,0.5
r_187,AI14801,0,0.5203908681869507,0.0625,0.25
r_406,AI11858,0,0.47621622681617737,0.0625,0.25
r_1027,AI09637,1,0.5015764236450195,0.07142857142857142,0.5
r_111,AI09157,0,0.5767499208450317,0.058823529411764705,0.2
r_406,AI10677,0,0.46071475744247437,0.0625,0.25
r_134,AI07607,0,0.4128773808479309,0.2,0.2
r_632,AI14573,0,0.5119806528091431,0.058823529411764705,0.2
r_187,AI08097,0,0.5206531286239624,0.058823529411764705,0.2
r_566,AI10534,0,0.5066267251968384,0.0625,0.25
r_111,AI05744,0,0.48304322361946106,0.058823529411764705,0.2
r_187,AI11827,0,0.5601094365119934,0.0625,0.25
r_656,AI05131,0,0.3766447901725769,0.058823529411764705,0.2
r_224,AI01536,0,0.4468175768852234,0.25,0.25
r_187,AI09138,0,0.545352578163147,0.058823529411764705,0.2
r_2927,AI02869,1,0.47561880946159363,0.5,0.5
r_594,AI07909,0,0.3849344849586487,0.2,0.2
r_174,AI02701,0,0.3848486542701721,0.2,0.2
r_503,AI06194,0,0.544856071472168,0.058823529411764705,0.2
r_58,AI03590,0,0.4058583080768585,0.0625,0.25
r_539,AI12605,0,0.41459476947784424,0.0625,0.25
